age,sex,bmi,children,smoker,region,charges
63,male,35.09,0,yes,southeast,47055.5321
59,female,26.505,0,no,northeast,12815.44495
42,female,41.325,1,no,northeast,7650.77375
42,female,26.18,1,no,southeast,7046.7222
28,female,28.88,1,no,northeast,4337.7352
51,male,33.33,3,no,southeast,10560.4917
33,female,33.5,0,yes,southwest,37079.372
60,female,35.1,0,no,southwest,12644.589
25,female,33.99,1,no,southeast,3227.1211
57,female,34.295,2,no,northeast,13224.05705
27,female,21.47,0,no,northwest,3353.4703
26,female,22.61,0,no,northwest,3176.8159
27,female,31.4,0,yes,southwest,34838.873
23,male,37.1,3,no,southwest,3597.596
38,male,31.0,1,no,southwest,5488.262
43,female,34.4,3,no,southwest,8522.003
18,male,53.13,0,no,southeast,1163.4627
23,male,41.91,0,no,southeast,1837.2819
47,male,36.08,1,yes,southeast,42211.1382
52,female,38.38,2,no,northeast,11396.9002
58,female,39.05,0,no,southeast,11856.4115
57,female,25.74,2,no,southeast,12629.1656
40,male,29.355,1,no,northwest,6393.60345
19,male,36.955,0,yes,northwest,36219.40545
48,male,40.565,2,yes,northwest,45702.02235
38,male,19.95,1,no,northwest,5855.9025
18,female,30.305,0,no,northeast,2203.73595
41,male,21.78,1,no,southeast,6272.4772
33,male,35.75,1,yes,southeast,38282.7495
24,female,25.27,0,no,northeast,3044.2133
30,male,31.4,1,no,southwest,3659.346
50,female,33.7,4,no,southwest,11299.343
19,male,25.555,1,no,northwest,2221.56445
38,male,34.7,2,no,southwest,6082.405
58,male,49.06,0,no,southeast,11381.3254
51,female,34.2,1,no,southwest,9872.701
28,male,30.875,0,no,northwest,3062.50825
38,female,28.0,3,no,southwest,7151.092
36,female,22.135,3,no,northeast,7228.21565
47,female,32.0,1,no,southwest,8551.347
25,male,29.7,3,yes,southwest,19933.458
47,male,32.3,1,no,southwest,8062.764
43,female,29.9,1,no,southwest,7337.748
49,female,23.845,3,yes,northeast,24106.91255
31,female,32.775,2,no,northwest,5327.40025
18,female,30.115,0,no,northeast,21344.8467
50,male,32.205,0,no,northwest,8835.26495
46,male,38.17,2,no,southeast,8347.1643
37,female,25.555,1,yes,northeast,20296.86345
38,male,29.26,2,no,northwest,6457.8434
18,female,24.09,1,no,southeast,2201.0971
64,female,32.965,0,no,northwest,14692.66935
53,male,28.88,0,no,northwest,9869.8102
37,female,47.6,2,yes,southwest,46113.511
54,male,25.1,3,yes,southwest,25382.297
19,male,44.88,0,yes,southeast,39722.7462
63,female,27.74,0,yes,northeast,29523.1656
29,female,27.94,1,yes,southeast,19107.7796
41,male,23.94,1,no,northeast,6858.4796
18,male,35.2,1,no,southeast,1727.54
29,female,24.6,2,no,southwest,4529.477
47,female,45.32,1,no,southeast,8569.8618
31,female,32.68,1,no,northwest,4738.2682
56,female,26.6,1,no,northwest,12044.342
19,male,28.4,1,no,southwest,1842.519
49,female,33.345,2,no,northeast,10370.91255
54,female,31.9,1,no,southeast,10928.849
34,male,25.27,1,no,northwest,4894.7533
52,female,30.78,1,no,northeast,10797.3362
46,male,33.44,1,no,northeast,8334.5896
29,male,35.5,2,yes,southwest,44585.45587
64,male,33.88,0,yes,southeast,46889.2612
46,male,19.855,0,no,northwest,7526.70645
45,female,38.285,0,no,northeast,7935.29115
57,male,42.13,1,yes,southeast,48675.5177
26,female,22.23,0,no,northwest,3176.2877
61,female,28.2,0,no,southwest,13041.921
26,male,20.8,0,no,southwest,2302.3
37,male,36.19,0,no,southeast,19214.70553
40,female,25.46,1,no,northeast,7077.1894
19,female,28.31,0,yes,northwest,17468.9839
57,female,31.825,0,no,northwest,11842.62375
50,female,27.36,0,no,northeast,25656.57526
36,female,29.92,1,no,southeast,5478.0368
51,female,36.67,2,no,northwest,10848.1343
31,female,25.8,2,no,southwest,4934.705
37,male,30.8,0,no,southwest,4646.759
23,female,34.96,3,no,northwest,4466.6214
30,male,22.99,2,yes,northwest,17361.7661
64,male,36.96,2,yes,southeast,49577.6624
20,male,33.0,1,no,southwest,1980.07
52,male,47.74,1,no,southeast,9748.9106
18,male,37.29,0,no,southeast,1141.4451
46,female,33.44,1,no,southeast,8240.5896
33,female,22.135,1,no,northeast,5354.07465
23,female,24.225,2,no,northeast,22395.74424
42,male,34.1,0,no,southwest,5979.731
18,female,38.28,0,no,southeast,14133.03775
20,male,27.93,0,no,northeast,1967.0227
19,male,20.425,0,no,northwest,1625.43375
22,male,33.77,0,no,southeast,1674.6323
28,female,24.32,1,no,northeast,23288.9284
29,female,21.755,1,yes,northeast,16657.71745
46,male,40.375,2,no,northwest,8733.22925
24,male,32.7,0,yes,southwest,34472.841
19,female,20.6,0,no,southwest,1731.677
48,male,30.2,2,no,southwest,8968.33
33,female,24.31,0,no,southeast,4185.0979
49,male,32.3,3,no,northwest,10269.46
34,female,27.5,1,no,southwest,5003.853
43,male,34.96,1,yes,northeast,41034.2214
41,male,30.78,3,yes,northeast,39597.4072
43,male,38.06,2,yes,southeast,42560.4304
64,male,25.6,2,no,southwest,14988.432
49,female,34.77,1,no,northwest,9583.8933
46,female,27.72,1,no,southeast,8232.6388
45,male,23.56,2,no,northeast,8603.8234
22,female,31.02,3,yes,southeast,35595.5898
42,female,24.985,2,no,northwest,8017.06115
53,male,31.16,1,no,northwest,10461.9794
30,female,28.405,1,no,northwest,4527.18295
19,female,23.4,2,no,southwest,2913.569
20,male,40.47,0,no,northeast,1984.4533
23,female,34.865,0,no,northeast,2899.48935
35,male,27.74,2,yes,northeast,20984.0936
49,male,31.35,1,no,northeast,9290.1395
23,male,18.715,0,no,northwest,21595.38229
46,female,48.07,2,no,northeast,9432.9253
58,female,32.395,1,no,northeast,13019.16105
38,female,28.93,1,no,southeast,5974.3847
44,male,30.2,2,yes,southwest,38998.546
24,male,40.15,0,yes,southeast,38126.2465
54,male,33.63,1,no,northwest,10825.2537
32,male,37.335,1,no,northeast,4667.60765
39,female,34.1,3,no,southwest,7418.522
19,female,24.51,1,no,northwest,2709.1119
18,male,23.75,0,no,northeast,1705.6245
18,female,29.165,0,no,northeast,7323.734819
24,male,25.8,0,no,southwest,1972.95
28,female,23.845,2,no,northwest,4719.73655
31,male,28.595,1,no,northwest,4243.59005
44,male,37.1,2,no,southwest,7740.337
31,female,25.74,0,no,southeast,3756.6216
31,female,36.63,2,no,southeast,4949.7587
58,female,28.215,0,no,northwest,12224.35085
54,female,47.41,0,yes,southeast,63770.42801
38,female,30.69,1,no,southeast,5976.8311
32,male,28.88,0,no,northwest,3866.8552
54,female,31.24,0,no,southeast,10338.9316
57,male,27.94,1,no,southeast,11554.2236
19,male,20.7,0,no,southwest,1242.816
57,male,40.37,0,no,southeast,10982.5013
30,female,33.33,1,no,southeast,4151.0287
34,male,34.21,0,no,southeast,3935.1799
52,male,30.2,1,no,southwest,9724.53
62,female,26.29,0,yes,southeast,27808.7251
50,female,46.09,1,no,southeast,9549.5651
63,female,25.08,0,no,northwest,14254.6082
56,male,31.79,2,yes,southeast,43813.8661
35,male,27.1,1,no,southwest,4746.344
63,female,23.085,0,no,northeast,14451.83515
43,male,27.36,3,no,northeast,8606.2174
18,female,31.35,0,no,southeast,1622.1885
18,male,34.1,0,no,southeast,1137.011
18,male,26.18,2,no,southeast,2304.0022
35,male,34.32,3,no,southeast,5934.3798
44,male,31.35,1,yes,northeast,39556.4945
21,male,22.3,1,no,southwest,2103.08
44,female,29.81,2,no,southeast,8219.2039
33,female,32.9,2,no,southwest,5375.038
35,male,24.13,1,no,northwest,5125.2157
18,male,29.37,1,no,southeast,1719.4363
33,male,42.4,5,no,southwest,6666.243
46,female,27.74,0,no,northwest,8026.6666
52,male,36.765,2,no,northwest,26467.09737
41,male,34.21,1,no,southeast,6289.7549
55,male,37.715,3,no,northwest,30063.58055
27,female,30.4,3,no,northwest,18804.7524
50,male,37.07,1,no,southeast,9048.0273
29,male,22.895,0,yes,northeast,16138.76205
48,female,27.93,4,no,northwest,11015.1747
25,female,41.325,0,no,northeast,17878.90068
26,female,29.92,2,no,southeast,3981.9768
42,male,24.605,2,yes,northeast,21259.37795
21,male,31.255,0,no,northwest,1909.52745
18,female,26.315,0,no,northeast,2198.18985
52,male,34.1,0,no,southeast,9140.951
45,male,24.31,5,no,southeast,9788.8659
25,female,23.465,0,no,northeast,3206.49135
35,female,34.8,1,no,southwest,5246.047
62,male,32.015,0,yes,northeast,45710.20785
18,female,36.85,0,no,southeast,1629.8335
47,female,27.645,2,yes,northwest,24535.69855
40,male,29.9,2,no,southwest,6600.361
38,female,27.835,2,no,northeast,7144.86265
52,male,33.25,0,no,northeast,9722.7695
57,female,20.1,1,no,southwest,12032.326
63,female,21.66,0,no,northeast,14449.8544
59,female,23.655,0,yes,northwest,25678.77845
19,female,32.11,0,no,northwest,2130.6759
61,female,33.33,4,no,southeast,36580.28216
44,female,38.95,0,yes,northwest,42983.4585
20,male,31.13,2,no,southeast,2566.4707
55,male,38.28,0,no,southeast,10226.2842
29,male,27.2,0,no,southwest,2866.091
62,male,32.11,0,no,northeast,13555.0049
26,male,27.06,0,yes,southeast,17043.3414
52,female,37.4,0,no,southwest,9634.538
52,female,25.3,2,yes,southeast,24667.419
37,male,29.83,2,no,northeast,6406.4107
43,female,32.56,3,yes,southeast,40941.2854
18,male,27.36,1,yes,northeast,17178.6824
52,female,18.335,0,no,northwest,9991.03765
59,female,27.72,3,no,southeast,14001.1338
18,male,30.14,0,no,southeast,1131.5066
18,female,38.17,0,no,southeast,1631.6683
33,female,42.94,3,no,northwest,6360.9936
54,female,23.0,3,no,southwest,12094.478
31,male,39.49,1,no,southeast,3875.7341
40,male,32.3,2,no,northwest,6986.697
35,male,36.67,1,yes,northeast,39774.2763
57,female,31.16,0,yes,northwest,43578.9394
64,female,31.3,2,yes,southwest,47291.055
30,female,39.05,3,yes,southeast,40932.4295
18,female,37.29,1,no,southeast,2219.4451
54,male,40.565,3,yes,northeast,48549.17835
41,female,31.02,0,no,southeast,6185.3208
39,female,23.87,5,no,southeast,8582.3023
46,female,28.05,1,no,southeast,8233.0975
50,female,26.22,2,no,northwest,10493.9458
25,female,34.485,0,no,northwest,3021.80915
19,female,28.6,5,no,southwest,4687.797
63,female,32.2,2,yes,southwest,47305.305
32,male,30.8,3,no,southwest,5253.524
24,female,26.6,0,no,northeast,3046.062
24,female,27.72,0,no,southeast,2464.6188
58,female,41.91,0,no,southeast,24227.33724
48,female,33.11,0,yes,southeast,40974.1649
40,female,29.6,0,no,southwest,5910.944
35,female,34.21,1,no,southeast,5245.2269
58,female,33.44,0,no,northwest,12231.6136
58,female,33.1,0,no,southwest,11848.141
54,female,32.3,1,no,northeast,11512.405
26,male,31.065,0,no,northwest,2699.56835
19,male,25.555,0,no,northwest,1632.56445
64,female,39.7,0,no,southwest,14319.031
52,female,33.3,2,no,southwest,10806.839
49,female,23.18,2,no,northwest,10156.7832
19,male,34.4,0,no,southwest,1261.859
52,female,31.73,2,no,northwest,11187.6567
49,female,36.63,3,no,southeast,10381.4787
19,male,35.53,0,no,northwest,1646.4297
25,male,26.8,3,no,southwest,3906.127
37,female,29.5,2,no,southwest,6311.952
52,female,46.75,5,no,southeast,12592.5345
63,male,31.445,0,no,northeast,13974.45555
48,male,35.625,4,no,northeast,10736.87075
29,female,20.235,2,no,northwest,4906.40965
60,female,36.005,0,no,northeast,13228.84695
28,male,29.26,2,no,northeast,4438.2634
61,female,35.91,0,no,northeast,13635.6379
53,male,36.6,3,no,southwest,11264.541
44,female,43.89,2,yes,southeast,46200.9851
46,female,32.3,2,no,northeast,9411.005
25,male,33.66,4,no,southeast,4504.6624
60,female,32.45,0,yes,southeast,45008.9555
36,male,41.895,3,yes,northeast,43753.33705
18,female,30.115,0,no,northeast,2203.47185
19,male,29.07,0,yes,northwest,17352.6803
42,female,23.37,0,yes,northeast,19964.7463
47,male,29.83,3,no,northwest,9620.3307
54,female,24.605,3,no,northwest,12479.70895
50,male,27.455,1,no,northeast,9617.66245
19,male,31.92,0,yes,northwest,33750.2918
18,male,23.21,0,no,southeast,1121.8739
19,male,24.6,1,no,southwest,1837.237
24,female,33.99,0,no,southeast,2473.3341
51,female,25.8,1,no,southwest,9861.025
58,female,25.2,0,no,southwest,11837.16
18,female,32.12,2,no,southeast,2801.2588
41,female,36.08,1,no,southeast,6781.3542
28,male,23.98,3,yes,southeast,17663.1442
27,male,45.9,2,no,southwest,3693.428
18,female,25.08,0,no,northeast,2196.4732
24,male,28.5,0,yes,northeast,35147.52848
41,female,33.06,2,no,northwest,7749.1564
30,male,28.69,3,yes,northwest,20745.9891
56,female,33.82,2,no,northwest,12643.3778
44,male,38.06,1,no,southeast,7152.6714
54,male,30.02,0,no,northwest,24476.47851
60,male,36.955,0,no,northeast,12741.16745
50,female,31.6,2,no,southwest,10118.424
27,male,26.03,0,no,northeast,3070.8087
27,female,24.75,0,yes,southeast,16577.7795
59,male,25.46,1,no,northeast,12913.9924
34,female,33.7,1,no,southwest,5012.471
30,female,28.38,1,yes,southeast,19521.9682
46,male,25.8,5,no,southwest,10096.97
64,female,30.115,3,no,northwest,16455.70785
29,male,32.11,2,no,northwest,4433.9159
44,male,34.32,1,no,southeast,7147.4728
32,female,44.22,0,no,southeast,3994.1778
19,female,40.5,0,no,southwest,1759.338
60,male,33.11,3,no,southeast,13919.8229
51,female,34.96,2,yes,northeast,44641.1974
48,female,35.91,1,no,northeast,26392.26029
50,female,28.12,3,no,northwest,11085.5868
26,male,32.9,2,yes,southwest,36085.219
62,male,21.4,0,no,southwest,12957.118
60,male,32.8,0,yes,southwest,52590.82939
19,male,33.1,0,no,southwest,23082.95533
21,female,35.72,0,no,northwest,2404.7338
18,male,33.77,1,no,southeast,1725.5523
43,female,35.64,1,no,southeast,7345.7266
27,male,18.905,3,no,northeast,4827.90495
45,female,28.6,2,no,southeast,8516.829
63,male,28.31,0,no,northwest,13770.0979
60,male,24.32,1,no,northwest,13112.6048
21,male,25.7,4,yes,southwest,17942.106
38,male,37.05,1,no,northeast,6079.6715
45,male,30.2,1,no,southwest,7441.053
35,female,31.0,1,no,southwest,5240.765
57,female,22.23,0,no,northeast,12029.2867
52,female,24.86,0,no,southeast,27117.99378
18,female,40.26,0,no,southeast,1634.5734
46,female,33.725,1,no,northeast,8823.98575
38,female,40.565,1,no,northwest,6373.55735
63,male,33.66,3,no,southeast,15161.5344
51,female,34.1,0,no,southeast,9283.562
50,female,27.6,1,yes,southwest,24520.264
51,female,37.05,3,yes,northeast,46255.1125
54,male,24.035,0,no,northeast,10422.91665
33,male,27.1,1,yes,southwest,19040.876
22,male,37.07,2,yes,southeast,37484.4493
32,male,35.2,2,no,southwest,4670.64
51,female,40.66,0,no,northeast,9875.6804
41,male,37.05,2,no,northwest,7265.7025
31,male,29.81,0,yes,southeast,19350.3689
38,female,27.6,0,no,southwest,5383.536
61,female,36.385,1,yes,northeast,48517.56315
64,female,26.885,0,yes,northwest,29330.98315
39,male,26.41,0,yes,northeast,20149.3229
22,male,52.58,1,yes,southeast,44501.3982
22,female,28.05,0,no,southeast,2155.6815
34,male,42.9,1,no,southwest,4536.259
55,female,25.365,3,no,northeast,13047.33235
32,female,41.1,0,no,southwest,3989.841
36,female,30.02,0,no,northwest,5272.1758
46,male,39.425,1,no,northeast,8342.90875
48,male,32.3,1,no,northwest,8765.249
27,female,17.955,2,yes,northeast,15006.57945
28,male,23.8,2,no,southwest,3847.674
42,male,24.86,0,no,southeast,5966.8874
19,male,27.835,0,no,northwest,1635.73365
52,male,41.8,2,yes,southeast,47269.854
40,female,29.81,1,no,southeast,6500.2359
56,female,27.2,0,no,southwest,11073.176
21,male,23.75,2,no,northwest,3077.0955
18,male,22.99,0,no,northeast,1704.5681
19,male,30.4,0,no,southwest,1256.299
60,female,27.55,0,no,northeast,13217.0945
50,male,36.2,0,no,southwest,8457.818
28,female,37.62,1,no,southeast,3766.8838
39,female,32.8,0,no,southwest,5649.715
24,female,27.6,0,no,southwest,18955.22017
44,male,27.4,2,no,southwest,7726.854
22,female,24.3,0,no,southwest,2150.469
51,male,24.795,2,yes,northwest,23967.38305
18,male,33.535,0,yes,northeast,34617.84065
40,female,36.19,0,no,southeast,5920.1041
50,male,32.11,2,no,northeast,25333.33284
32,male,33.82,1,no,northwest,4462.7218
45,male,33.7,1,no,southwest,7445.918
35,female,26.125,0,no,northeast,5227.98875
56,female,35.8,1,no,southwest,11674.13
25,male,30.59,0,no,northeast,2727.3951
51,male,31.635,0,no,northwest,9174.13565
18,female,38.665,2,no,northeast,3393.35635
27,male,30.3,3,no,southwest,4260.744
62,male,27.55,1,no,northwest,13937.6665
48,male,29.6,0,no,southwest,21232.18226
19,female,27.9,0,yes,southwest,16884.924
62,male,31.46,1,no,southeast,27000.98473
53,female,38.06,3,no,southeast,20462.99766
32,female,20.52,0,no,northeast,4544.2348
49,male,25.6,2,yes,southwest,23306.547
27,female,31.255,1,no,northwest,3956.07145
55,female,40.81,3,no,southeast,12485.8009
61,male,36.3,1,yes,southwest,47403.88
52,male,24.32,3,yes,northeast,24869.8368
25,male,25.74,0,no,southeast,2137.6536
62,male,37.4,0,no,southwest,12979.358
60,male,40.92,0,yes,southeast,48673.5588
47,female,36.63,1,yes,southeast,42969.8527
28,female,26.315,3,no,northwest,5312.16985
18,female,33.88,0,no,southeast,11482.63485
45,female,30.9,2,no,southwest,8520.026
42,male,35.97,2,no,southeast,7160.3303
56,male,36.1,3,no,southwest,12363.547
52,male,32.205,3,no,northeast,11488.31695
32,female,29.59,1,no,southeast,4562.8421
18,male,25.46,0,no,northeast,1708.0014
38,female,19.95,2,no,northeast,7133.9025
48,female,36.575,0,no,northwest,8671.19125
44,male,25.365,1,no,northwest,7518.02535
53,female,23.75,2,no,northeast,11729.6795
58,female,32.965,0,no,northeast,12430.95335
24,male,29.83,0,yes,northeast,18648.4217
56,male,33.66,4,no,southeast,12949.1554
41,male,28.405,1,no,northwest,6664.68595
64,female,39.33,0,no,northeast,14901.5167
30,female,43.12,2,no,southeast,4753.6368
20,female,29.6,0,no,southwest,1875.344
50,male,32.3,1,yes,northeast,41919.097
48,female,25.85,3,yes,southeast,24180.9335
39,male,28.3,1,yes,southwest,21082.16
37,male,46.53,3,no,southeast,6435.6237
61,male,38.38,0,no,northwest,12950.0712
29,male,38.94,1,no,southeast,3471.4096
25,female,28.595,0,no,northeast,3213.62205
21,male,25.745,2,no,northeast,3279.86855
51,male,42.9,2,yes,southeast,47462.894
41,male,33.55,0,no,southeast,5699.8375
19,female,37.43,0,no,northwest,2138.0707
26,male,33.915,1,no,northwest,3292.52985
54,female,27.645,1,no,northwest,11305.93455
45,male,30.495,2,no,northwest,8413.46305
24,male,28.5,2,no,northwest,3537.703
21,female,21.85,1,yes,northeast,15359.1045
30,male,35.3,0,yes,southwest,36837.467
45,male,22.895,2,yes,northwest,21098.55405
53,female,39.6,1,no,southeast,10579.711
40,male,30.875,4,no,northwest,8162.71625
18,male,21.565,0,yes,northeast,13747.87235
64,female,39.05,3,no,southeast,16085.1275
39,female,18.3,5,yes,southwest,19023.26
53,male,24.32,0,no,northwest,9863.4718
19,female,24.605,1,no,northwest,2709.24395
41,male,29.64,5,no,northeast,9222.4026
48,female,28.9,0,no,southwest,8277.523
51,male,27.74,1,no,northeast,9957.7216
53,female,24.795,1,no,northwest,10942.13205
42,female,29.48,2,no,southeast,7640.3092
30,female,21.945,1,no,northeast,4718.20355
22,female,27.1,0,no,southwest,2154.361
34,male,35.815,0,no,northwest,4320.41085
64,female,35.97,0,no,southeast,14313.8463
49,female,27.1,1,no,southwest,26140.3603
46,male,26.62,1,no,southeast,7742.1098
50,male,44.77,1,no,southeast,9058.7303
42,female,36.195,1,no,northwest,7443.64305
58,male,28.595,0,no,northwest,11735.87905
19,female,25.745,1,no,northwest,2710.82855
37,female,27.74,3,no,northwest,7281.5056
41,female,32.6,3,no,southwest,7954.517
30,male,38.83,1,no,southeast,18963.17192
52,female,37.525,2,no,northwest,33471.97189
52,female,31.2,0,no,southwest,9625.92
47,female,24.32,0,no,northeast,8534.6718
20,male,30.685,0,yes,northeast,33475.81715
